Event,TSS (mg),TZn (mg),DZn (mg),TCu (mg),DCu (mg),Volume (l),Flow rate (l/min),Conc. TSS (mg/l),Conc. TZn (mg/l),Conc. DZn (mg/l),Conc. TCu (mg/l),Conc. DCu (mg/l)
44,4.4575e+225,4.1872e+224,3.5591e+224,5.9113e+221,1.1823e+221,1.4302e+224,9.1678e+220,31.167,2.9277,2.4886,0.0041333,0.00082666
45,1.0678e+225,9.2159e+223,7.8335e+223,1.2874e+221,2.5748e+220,3.4558e+223,9.5994e+220,30.899,2.6668,2.2668,0.0037253,0.00074506
46,2.5499e+224,1.1006e+224,9.3549e+223,1.5452e+221,3.0903e+220,4.0663e+223,9.6817e+220,6.2708,2.7066,2.3006,0.0037999,0.00075999
47,2.2956e+224,5.7983e+223,4.9286e+223,7.9722e+220,1.5944e+220,2.0979e+223,4.995e+220,10.942,2.7639,2.3493,0.0038001,0.00076002
48,2.2088e+224,2.9249e+223,2.4861e+223,3.9346e+220,7.8692e+219,1.2321e+223,6.845e+220,17.927,2.3739,2.0178,0.0031934,0.00063868
49,1.8878e+225,5.7786e+224,4.9118e+224,8.1752e+221,1.635e+221,2.0221e+224,2.2467e+221,9.336,2.8578,2.4291,0.004043,0.00080861
50,4.7075e+224,3.5053e+223,2.9795e+223,4.6948e+220,9.3896e+219,1.3567e+223,5.6528e+220,34.699,2.5837,2.1962,0.0034605,0.00069211
51,1.9873e+224,1.1782e+223,1.0015e+223,1.3156e+220,2.6311e+219,4.9333e+222,4.1111e+220,40.282,2.3882,2.03,0.0026667,0.00053333
52,1.2536e+225,4.9427e+224,4.2013e+224,6.9898e+221,1.398e+221,1.7138e+224,1.5869e+221,7.3144,2.884,2.4514,0.0040784,0.00081569
53,9.3717e+223,2.8611e+223,2.4319e+223,3.9378e+220,7.8756e+219,1.48e+223,1.2333e+221,6.3322,1.9332,1.6432,0.0026607,0.00053214
54,1.3886e+224,4.6151e+222,3.9228e+222,3.9827e+219,7.9653e+218,3.7e+222,6.1667e+220,37.529,1.2473,1.0602,0.0010764,0.00021528
55,1.1129e+224,2.8865e+223,2.4535e+223,3.8388e+220,7.6776e+219,1.11e+223,4.625e+220,10.026,2.6005,2.2104,0.0034584,0.00069168
56,9.5786e+223,5.0247e+222,4.271e+222,5.2755e+219,1.0551e+219,4.9333e+222,8.2222e+220,19.416,1.0185,0.86575,0.0010694,0.00021387
57,3.4336e+225,5.87e+224,4.9895e+224,8.303e+221,1.6606e+221,2.0357e+224,1.8849e+221,16.867,2.8835,2.451,0.0040786,0.00081572
58,3.9189e+224,2.9347e+223,2.4945e+223,3.8413e+220,7.6825e+219,1.11e+223,4.625e+220,35.306,2.6439,2.2473,0.0034606,0.00069212
59,2.2939e+225,5.6531e+224,4.8051e+224,7.9934e+221,1.5987e+221,1.9363e+224,1.2909e+221,11.847,2.9195,2.4816,0.0041281,0.00082562
60,9.5268e+223,3.1509e+223,2.6782e+223,4.1337e+220,8.2675e+219,1.11e+223,3.0833e+220,8.5827,2.8386,2.4128,0.0037241,0.00074482
61,3.8172e+224,5.502e+223,4.6767e+223,7.5136e+220,1.5027e+220,1.977e+223,4.7072e+220,19.308,2.7829,2.3655,0.0038005,0.00076009
62,1.0392e+225,1.5232e+224,1.2947e+224,2.1427e+221,4.2855e+220,5.5549e+223,1.1573e+221,18.707,2.742,2.3307,0.0038573,0.00077147
63,2.9558e+225,5.0266e+224,4.2726e+224,7.1082e+221,1.4216e+221,1.7523e+224,1.8253e+221,16.868,2.8685,2.4382,0.0040565,0.00081129
64,9.6389e+224,6.4471e+223,5.48e+223,8.9636e+220,1.7927e+220,2.59e+223,1.0792e+221,37.216,2.4892,2.1158,0.0034608,0.00069217
65,1.2134e+224,6.528e+222,5.5488e+222,7.9062e+219,1.5812e+219,7.4e+222,1.2333e+221,16.397,0.88216,0.74984,0.0010684,0.00021368
66,2.8098e+224,4.0126e+223,3.4107e+223,5.5805e+220,1.1161e+220,2.0967e+223,1.7472e+221,13.401,1.9138,1.6267,0.0026616,0.00053232
67,2.3799e+224,3.1016e+223,2.6363e+223,4.2678e+220,8.5355e+219,1.6033e+223,1.3361e+221,14.843,1.9344,1.6443,0.0026618,0.00053236
68,9.4154e+223,4.343e+222,3.6915e+222,2.6558e+219,5.3116e+218,2.4667e+222,4.1111e+220,38.171,1.7607,1.4966,0.0010767,0.00021534
69,4.5296e+223,4.015e+222,3.4128e+222,2.6369e+219,5.2738e+218,2.4667e+222,4.1111e+220,18.363,1.6277,1.3836,0.001069,0.0002138
70,1.0224e+224,8.1534e+222,6.9304e+222,1.0525e+220,2.105e+219,9.8667e+222,1.6444e+221,10.362,0.82635,0.7024,0.0010667,0.00021334
